0,2018-9-25 07:21,【#女儿被打父亲捅死男生#：事发前双方家长对话曝光，并无激烈冲突】9月21日，浙江瑞安隆山实验小学发生一起“小学男生被女同学父亲杀害案”。2天前，男生叶某在学校打伤女同学眼睛。当晚双方父母通过微信有过沟通。叶某母亲向对方道歉，希望陪受伤女孩去医院看看。而犯罪嫌疑人林某某则希望，“(死者叶某)能当着老师同学的面向女儿道歉，“给他一个教训”。叶某妈妈表示愿意。双方似乎就处理纠纷达成一致。
101,9月27日 10:37 ,蹦哒小考拉,死于六尺之下,你终究是没懂我的意思，有一天我把你打伤了，你后来把我砍残了，因为我比你惨所以最后判你全责？这就是社会的价值观？ 
102,9月27日 10:33 ,微风清卿,说点傻呢,有些小孩知道不满14岁不用付刑事责任，杀人都敢干！大人知道杀人要坐牢，那到底是什么事让他宁愿坐牢也要捅死那个男生？？ 
103,9月27日 10:04 ,死丫头骗子,享聪明,新的公告能改变是男孩先欺负女孩的事实？新的公告能说明男孩的教育没有问题？事情就是公告的那么简单？前几天天安会龙哥一开始那个公告你看了吗？网红辱骂孕妇那个公告你看了吗？公告不过是避重就轻，轻描淡写的把事情简单说一下而已 
104,9月27日 09:43 ,YINGYICHEN_,请叫我撬棍,最后 那个杀人的父亲是个精神病我估计他看到那么多nc为他叫好  精神病都不用治可 
105,9月27日 09:40 ,YINGYICHEN_,请叫我撬棍,真的是假如路上不小心有人碰到你了 你是不是都可以杀人？刚又重新翻了一下新闻 就是两个小孩在交作业的时候 前面的小孩转身不小心打到了后面的孩子  然后一个好好的男孩就得被杀，还得被你们这种脑子不好不去了解真相的人各种骂 
106,9月27日 09:39 ,冬冬苏6242256974,Chlseaturn,人家孩子都死了你还在那里说这说那，跟我怼什么怼，自己在那里网络暴力说我网络暴力，搞搞清楚 
107,9月27日 09:38 ,YINGYICHEN_,请叫我撬棍,“”班主任说，9月19日（周三），两个孩子之间的发生了一些小摩擦，但算不上打架，甚至算不上吵架。当天英语课堂上，学生们排队把订正完的作业交给英语老师，男孩正好排在女孩前面，男孩转身一挥手，正好打在女孩的眼睛上。” 网络暴民多看看新闻吧 不是学校里的欺负就是小孩不小心碰到了 
108,9月27日 09:32 ,YINGYICHEN_,请叫我撬棍,所以你的意思就是 不管是不是骨折了，只要别人的孩子欺负你家孩子了 你都拿着刀把他们杀了先 因为你觉得在道德上这是对的？哇 真的三观正脸呢 
109,9月27日 09:29 ,YINGYICHEN_,请叫我撬棍,哈哈哈哈你这叫三观正，第一你没确定这一定是欺负人还是两个小孩闹矛盾就一口咬定校园欺凌，第二你这个三观 以暴制暴？ok如果是 你要是把我孩子弄骨折了 我不会去弄那个孩子 我找家长算账  持刀杀人你叫好这种三观别来侮辱我们三观正。本来就是两个家庭家长的问题 偏偏要杀一个小孩 你有三观吗 
110,9月27日 09:26 ,Chlseaturn,冬冬苏6242256974,我不是说了，您这么有正义感，麻烦您去帮忙，去给人家带来帮助，何必跟我们动嘴皮子？这就是你的能力？还不是跟我们一样？ 
