0,2017-6-6 18:07,据韩国媒体报道，6日上午，因涉嫌吸毒被公诉的Bigbang成员TOP失去意识晕倒，被紧急送到首尔某医院。下午5点左右，TOP转到重症患者室，但是目前还未恢复意识。TOP身边的亲友表示：“正在检查中，还未出来结果，但是有服用药物的可能性。最近发生了很多事情，加上转到4机动团，应该是遭受的压力太大了。希望他能早日恢复意识”。主治医生还表示：“TOP被送往医院时是被三个人抬着进入医院，两人抬上肢，一个抬下肢。急诊医生对TOP进行检查时发现，患者的意识状态对于一般性刺激不具有反应，呈现血压上升极快以及脉搏、呼吸不稳定的现象。对此我们采取了应急措施，判断患者处于危急状态。”6月29日上午，TOP出席了在首尔地方法院开庭审理的“涉嫌吸毒案”一审公判，并鞠躬道歉。韩国男团BIGBANG成员TOP因涉嫌吸毒而在今天上午出庭受审，他在进入法院前向现场记者表示愿意接受任何处罚。TOP涉嫌去年在自宅与一名女训练生吸毒而被检方起诉，今天TOP承认了检方对他的所有指控并表示他已深刻认识到自己犯下了多大的错误，无论法院作出什么样的判决他都会接受。原本服兵役的TOP因为涉嫌吸毒而被解除了义务警察职务，之后他又因过量服用药物而失去意识，在紧急抢救恢复意识后接受治疗至今。“首先，向因为此事受到伤害及失望的人们表达最真诚的歉意。是我太愚蠢了，之前的我因为长时间的抑郁症和严重的不安障碍，一直想逃避黑暗中的自己。因为我不稳定的精神状态导致我冲动的做出了错误的行为，也已经造成了不可挽回的大过错，让大家很失望。我觉得自己很丢人，我甘愿接受任何处罚。我会深深地反省再反省，以后不会再发生这种事情了。最后，对我的母亲也真的很抱歉”。
133,2017-6-8 12:00 ,kanoooooo5_,黄河鲤鱼七号,愿意哦 
134,2017-6-8 11:58 ,花花花花花花花花姐姐,丙秋夭叶,不敢和你比 
135,2017-6-8 11:57 ,虎哥的御前带刀侍卫333,迟早要嫁给王俊凯,不懂你的意思，我觉得你是想表达生命要分什么高低贵贱么？奥，那我没什么好说的了，我还是多看点书吧 
136,2017-6-8 11:49 ,晴晴-joyce,探雾朲,中國的噴子太多了，亂噴，我只是發表自己的意見，不喜歡就別看呀，幹嘛還回復我呀，好好笑哦！我還不能說說心裡話呀，關你哪門子事呀，以為你誰呀，你厲害去幫人家抓吸毒的呀，警察叔叔會謝謝你的，在這亂噴沒用呀，吸毒的還是吸毒呀，哈哈 
137,2017-6-8 11:36 ,穿着碎花的小狐狸,陈心柔揉肉肉, 
138,2017-6-8 11:34 ,李相赫大魔王,柚子熟了s,我小学生，总比ncf好。    你不累？ 韩国棒子舔起来那么带劲？ 
139,2017-6-8 10:49 ,解雨臣-bjt,,希望他能活下来。也希望他永远不被原谅。永远活在自责愧疚与毒瘾的折磨之下。 
140,2017-6-8 10:36 ,cmf0304,Xggg强攻妈妈,来，爸爸教你，先说人话，就是再小，也不能打个句子都不通顺吧，再有，你就希望别人都卖片儿是吧，你没有可看的了特着急是吧？除了卖片脑子里还有别的东西吗？ 
141,2017-6-8 10:34 ,做个盖世英雄好吗,cmf0304,对啊 佛印有话 看我喷粪 你又喷什么 还爸爸？好好卖片 别在这丢人现眼了 
142,2017-6-8 10:32 ,cmf0304,Xggg强攻妈妈,说的就好像我把你当成个人似的，主要吧，你这满嘴喷粪的劲儿，把你当成个动物，也挺对不住动物的 
